Dog_bites,date,average_Daily_max_oz,Average pm,PRCP,TMAX,UVI,holidays,fri,sat,sun,NYC,Luisville,Baton,Houston,LA,Baltimore,Austin,Chicago
4,2014-04-11,0.049,6.966666667,0,85,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-04-12,0.043,10.35,0,86,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-04-13,0.028,12.8,0,81,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-04-14,0.042,5.85,1.14,73,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-04-15,0.052,4.8,0,63,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-04-16,0.056,7.05,0,72,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-04-17,0.04,9.833333333,0.07,68,,0,0,0,0,0,0,0,0,0,0,1,0
10,2014-04-18,0.051,10.15,0,77,,1,1,0,0,0,0,0,0,0,0,1,0
2,2014-04-19,0.053,13.65,0,79,,0,0,1,0,0,0,0,0,0,0,1,0
8,2014-04-20,0.042,8.65,0,76,,0,0,0,1,0,0,0,0,0,0,1,0
1,2014-04-21,0.041,7.85,0,84,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-04-22,0.057,5.9,0,85,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-04-23,0.047,10.2,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
0,2014-04-24,0.05,9.25,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
11,2014-04-25,0.056,14.3,0,89,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-04-26,0.035,20.85,0,86,,0,0,1,0,0,0,0,0,0,0,1,0
5,2014-04-27,0.042,26.8,0,92,,0,0,0,1,0,0,0,0,0,0,1,0
1,2014-04-28,0.056,7.8,0,92,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-04-29,0.054,6.9,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-04-30,0.045,4.25,0,74,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-05-01,0.058,4.3,0,77,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-05-02,0.054,5.4,0,83,,0,1,0,0,0,0,0,0,0,0,1,0
6,2014-05-03,0.062,7,0,91,,0,0,1,0,0,0,0,0,0,0,1,0
5,2014-05-04,0.063,6.75,0,90,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-05-05,0.059,9.2,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-05-06,0.045,10.1,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-05-07,0.037,11.4,0,88,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-08,0.027,22.4,0.01,86,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-05-09,0.039,17.6,0,86,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-05-10,0.049,7.35,0,90,,0,0,1,0,0,0,0,0,0,0,1,0
4,2014-05-11,0.043,10.6,0,92,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-05-12,0.026,16.85,3.07,83,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-05-13,0.035,2.55,1.2,68,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-14,0.051,3.85,0.07,75,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-15,0.061,5.75,0,82,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-05-16,0.069,5.8,0,86,,0,1,0,0,0,0,0,0,0,0,1,0
9,2014-05-17,0.062,8.4,0,86,,0,0,1,0,0,0,0,0,0,0,1,0
6,2014-05-18,0.054,7.05,0,86,,0,0,0,1,0,0,0,0,0,0,1,0
7,2014-05-19,0.052,8.85,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-20,0.045,7.8,0,88,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-21,0.035,7.1,0,89,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-05-22,0.032,8.1,0,89,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-05-23,0.029,8.766666667,0.47,86,,0,1,0,0,0,0,0,0,0,0,1,0
8,2014-05-24,0.027,7.7,0.02,86,,0,0,1,0,0,0,0,0,0,0,1,0
0,2014-05-25,0.031,7.45,0,88,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-05-26,0.038,5.5,1.27,77,,1,0,0,0,0,0,0,0,0,0,1,0
5,2014-05-27,0.039,4,1.78,73,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-05-28,0.05,5.05,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-05-29,0.056,7.633333333,0,88,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-05-30,0.053,9.2,0,93,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-05-31,0.052,9.2,0,91,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-06-01,0.052,9.15,0,89,,0,0,0,1,0,0,0,0,0,0,1,0
7,2014-06-02,0.033,5.85,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-06-03,0.028,4.2,0,90,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-06-04,,4.9,0,90,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-06-05,,4.3,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-06-06,,11.65,0,92,,0,1,0,0,0,0,0,0,0,0,1,0
5,2014-06-07,0.023,6.45,0,92,,0,0,1,0,0,0,0,0,0,0,1,0
5,2014-06-08,0.024,16.05,0,91,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-06-09,0.035,12.45,0.09,86,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-06-10,0.05,5.066666667,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-06-11,0.049,12.4,0,95,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-06-12,0.031,17.15,1.27,94,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-06-13,0.046,6.7,0,90,,0,1,0,0,0,0,0,0,0,0,1,0
7,2014-06-14,0.027,9.2,0,89,,1,0,1,0,0,0,0,0,0,0,1,0
7,2014-06-15,0.026,14.9,0,93,,0,0,0,1,0,0,0,0,0,0,1,0
6,2014-06-16,0.023,21.66666667,0,93,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-06-17,0.023,13.95,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
9,2014-06-18,0.026,11.3,0,93,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-06-19,0.026,10.35,0,92,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-06-20,0.029,11.2,0,92,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-06-21,0.027,22.1,0,92,,0,0,1,0,0,0,0,0,0,0,1,0
6,2014-06-22,0.024,30.6,0,91,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-06-23,0.033,13.45,0,89,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-06-24,0.028,9,0,93,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-06-25,0.022,9.6,0.3,89,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-06-26,0.029,5.8,0.02,87,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-06-27,0.022,9.3,0,91,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-06-28,0.025,15,0,94,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-06-29,0.023,23.45,0,96,,0,0,0,1,0,0,0,0,0,0,1,0
2,2014-06-30,0.025,26.35,0,95,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-07-01,0.031,19.05,0,96,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-07-02,0.035,18.25,0.01,97,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-07-03,0.045,15.75,0.68,95,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-07-04,0.034,12.63333333,0,92,,1,1,0,0,0,0,0,0,0,0,1,0
1,2014-07-05,0.051,14.25,0,92,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-07-06,0.033,13.35,0,93,,0,0,0,1,0,0,0,0,0,0,1,0
6,2014-07-07,0.033,18.85,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-07-08,0.033,13.5,0,96,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-07-09,0.033,21.75,0,96,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-07-10,0.035,12.16666667,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-07-11,0.026,21.2,0,94,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-07-12,0.027,24.5,0,96,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-07-13,0.033,8.4,0,97,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-07-14,0.047,8.3,0,99,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-07-15,0.042,8.5,0.16,93,,0,0,0,0,0,0,0,0,0,0,1,0
9,2014-07-16,0.043,8.6,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
9,2014-07-17,0.024,18.65,0.88,92,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-07-18,0.032,8.7,0.25,79,,0,1,0,0,0,0,0,0,0,0,1,0
7,2014-07-19,0.046,13.5,0,86,,0,0,1,0,0,0,0,0,0,0,1,0
5,2014-07-20,0.044,14.95,0,95,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-07-21,0.037,14.4,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-07-22,0.041,13.03333333,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-07-23,0.056,20.1,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-07-24,0.061,15.3,0.07,94,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-07-25,0.046,12.05,0,97,,0,1,0,0,0,0,0,0,0,0,1,0
6,2014-07-26,0.034,16.7,0,99,,0,0,1,0,0,0,0,0,0,0,1,0
3,2014-07-27,0.031,11.55,0,99,,0,0,0,1,0,0,0,0,0,0,1,0
6,2014-07-28,0.044,13.63333333,0,100,,0,0,0,0,0,0,0,0,0,0,1,0
0,2014-07-29,0.052,13.6,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-07-30,0.033,12.75,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-07-31,0.038,13.7,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-01,0.043,4.55,0,91,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-08-02,0.045,7.2,0,90,,0,0,1,0,0,0,0,0,0,0,1,0
3,2014-08-03,0.047,14.3,0,94,,0,0,0,1,0,0,0,0,0,0,1,0
2,2014-08-04,0.041,13.7,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-08-05,0.049,10.95,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-08-06,0.048,9.15,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-08-07,0.04,13.85,0,103,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-08-08,0.038,8.9,0,101,,0,1,0,0,0,0,0,0,0,0,1,0
6,2014-08-09,0.033,11.56666667,0,100,,0,0,1,0,0,0,0,0,0,0,1,0
7,2014-08-10,0.033,8.95,0,102,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-08-11,0.03,7.3,0,103,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-08-12,0.06,5.55,0,100,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-08-13,0.052,8.95,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-14,0.057,12.2,0,99,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-15,0.046,8.166666667,0,100,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-08-16,0.039,8.65,0,102,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-08-17,,15.15,0,101,,0,0,0,1,0,0,0,0,0,0,1,0
8,2014-08-18,,16.45,0,101,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-08-19,,18.85,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-08-20,0.03,19.65,0,101,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-21,0.026,19.46666667,0,102,,0,0,0,0,0,0,0,0,0,0,1,0
8,2014-08-22,0.033,16,0,101,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-08-23,0.034,11.9,0,100,,0,0,1,0,0,0,0,0,0,0,1,0
6,2014-08-24,0.038,10.2,0,100,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-08-25,0.047,9.7,0,101,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-26,0.053,13.9,0,100,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-08-27,0.056,11.86666667,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-08-28,0.045,6.5,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-08-29,0.046,5.9,0,96,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-08-30,0.055,4.4,0,95,,0,0,1,0,0,0,0,0,0,0,1,0
8,2014-08-31,0.037,5.9,0,96,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-09-01,0.034,9.65,0,100,,1,0,0,0,0,0,0,0,0,0,1,0
13,2014-09-02,0.033,6.133333333,0,98,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-09-03,0.028,6.2,0,99,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-09-04,0.021,7.25,0.08,97,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-09-05,0.034,7.1,0.05,99,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-09-06,0.038,7.3,0.04,97,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-09-07,0.045,7.35,0.08,91,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-09-08,0.062,8.3,0,94,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-09-09,0.043,7.6,0,97,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-09-10,,3.35,0,100,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-09-11,0.034,4.35,0,99,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-09-12,0.036,5.15,0.69,98,,0,1,0,0,0,0,0,0,0,0,1,0
1,2014-09-13,0.012,3,0.21,67,,0,0,1,0,0,0,0,0,0,0,1,0
3,2014-09-14,0.026,9,0,78,,0,0,0,1,0,0,0,0,0,0,1,0
8,2014-09-15,0.038,9.6,0,89,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-09-16,0.038,7.05,0.01,94,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-09-17,0.037,5.1,0.02,91,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-09-18,0.038,3.35,1.46,90,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-09-19,0.028,4.6,0.57,86,,0,1,0,0,0,0,0,0,0,0,1,0
3,2014-09-20,0.03,5.033333333,0,88,,0,0,1,0,0,0,0,0,0,0,1,0
2,2014-09-21,0.048,7.15,0,91,,0,0,0,1,0,0,0,0,0,0,1,0
2,2014-09-22,0.055,11.9,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
9,2014-09-23,0.051,6.05,0,85,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-09-24,0.053,8.2,0,84,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-09-25,0.046,7.95,0,84,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-09-26,0.052,9.366666667,0,86,,0,1,0,0,0,0,0,0,0,0,1,0
7,2014-09-27,0.046,10.1,0.01,81,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-09-28,0.041,7.6,0,87,,0,0,0,1,0,0,0,0,0,0,1,0
7,2014-09-29,0.046,8.35,0,89,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-09-30,0.054,11.5,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
4,2014-10-01,0.04,3.9,0,93,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-10-02,0.035,10.95,0.37,94,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-10-03,0.049,1.7,0,84,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-10-04,0.047,2.5,0,80,,0,0,1,0,0,0,0,0,0,0,1,0
5,2014-10-05,0.05,4.1,0,87,,0,0,0,1,0,0,0,0,0,0,1,0
3,2014-10-06,0.046,3.2,0,90,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-10-07,0.043,4,0,93,,0,0,0,0,0,0,0,0,0,0,1,0
2,2014-10-08,0.033,5.9,0,91,,0,0,0,0,0,0,0,0,0,0,1,0
1,2014-10-09,0.031,4.6,0.03,92,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-10-10,0.029,11,0,93,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-10-11,0.019,3.05,1.19,78,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-10-12,0.019,7.9,0,78,,0,0,0,1,0,0,0,0,0,0,1,0
4,2014-10-13,0.035,2.4,0.16,77,,1,0,0,0,0,0,0,0,0,0,1,0
1,2014-10-14,0.039,4.1,0,79,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-10-15,0.047,4.7,0,87,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-10-16,0.06,4.65,0,86,,0,0,0,0,0,0,0,0,0,0,1,0
5,2014-10-17,0.049,5.6,0,86,,0,1,0,0,0,0,0,0,0,0,1,0
4,2014-10-18,0.042,5.75,0,86,,0,0,1,0,0,0,0,0,0,0,1,0
1,2014-10-19,0.045,9.5,0,82,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-10-20,0.055,12.86666667,0,81,,0,0,0,0,0,0,0,0,0,0,1,0
7,2014-10-21,0.048,9.15,0,82,,0,0,0,0,0,0,0,0,0,0,1,0
6,2014-10-22,0.048,9.65,0,83,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-10-23,0.061,10.55,0.02,82,,0,0,0,0,0,0,0,0,0,0,1,0
3,2014-10-24,0.065,12.1,0,85,,0,1,0,0,0,0,0,0,0,0,1,0
2,2014-10-25,0.06,11.3,0,88,,0,0,1,0,0,0,0,0,0,0,1,0
6,2014-10-26,0.058,7.666666667,0,85,,0,0,0,1,0,0,0,0,0,0,1,0
5,2014-10-27,0.043,4.6,0,87,,0,0,0,0,0,0,0,0,0,0,1,0
